basin,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
southindian,8,0,0,0,3,1,5,0,0,7,4,1,0,0,7,3,2,0,0,1,4,5,8,1,6,1,0,1,4,4,0,0,8,0,2,0,0,0,0,0,0,0,1,0
northindian,0,2,2,0,2,0,0,0,1,0,1,1,3,2,1,2,4,2,5,3,2,1,0,1,2,0,1,3,1,1,3,1,0,4,2,2,1,2,4,6,4,3,1,4
southpacific,3,3,4,10,3,7,5,7,4,6,3,3,9,8,4,3,3,9,12,3,4,2,2,7,2,6,5,4,4,1,7,5,1,5,3,5,4,4,4,4,6,4,3,3
southindian,0,2,2,0,2,0,0,0,1,0,1,1,3,2,1,2,4,2,5,3,2,1,0,1,2,0,1,3,1,1,3,1,0,4,2,2,1,2,4,6,4,3,1,4
northatlantic,9,7,2,3,5,7,4,3,5,7,8,4,4,4,3,11,9,3,10,8,8,9,4,7,9,15,5,6,8,3,12,7,10,2,6,4,7,10,8,6,13,7,8,7
northeastpacific,7,8,12,12,13,13,9,10,7,9,16,10,16,11,10,7,5,9,9,6,6,8,8,7,6,7,11,4,7,8,3,10,10,9,16,16,13,9,13,7,4,8,10,10
northwestpacific,15,16,19,12,16,17,19,17,13,21,21,20,21,20,20,15,21,23,9,11,14,21,16,17,20,18,13,16,12,15,9,10,15,16,12,20,17,13,16,18,12,10,12,11
